fomula,perf
target ~ weatherVar178 + I(weatherVar121^5) + I(weatherVar167^4),0.0475836947717065
target ~ weatherVar150,0.0188850102939174
target ~ I(weatherVar175^2) + I(geodemVar19^3),0.0304201828783604
target ~ weatherVar99 + I(weatherVar61^3) + I(geodemVar1^3),0.074623712391138
target ~ I(weatherVar32^2) + I(geodemVar19^4),0.0289296212042682
target ~ weatherVar80 + I(weatherVar105^3) + I(weatherVar71^4),0.0366583402805937
target ~ I(weatherVar6^2) + I(geodemVar4^5) + weatherVar7,0.0397524036246576
target ~ I(weatherVar78^5) + weatherVar110 + I(geodemVar19^5),0.0539750564907156
target ~ weatherVar98,0.0230698921164941
target ~ I(weatherVar87^2) + I(geodemVar30^2),0.0278000835756705
target ~ I(weatherVar104^2) + I(var17^4) + I(weatherVar91^5),0.0973318383416437
target ~ weatherVar87,0.0210087730108808
target ~ weatherVar133,0.0173796334035487
target ~ I(weatherVar136^2) + I(weatherVar105^2) + I(weatherVar141^2),0.0217369964613296
target ~ I(weatherVar105^4) + weatherVar86,0.0162136076234435
target ~ weatherVar68,0.0259780982327059
target ~ I(weatherVar87^3),0.0156510192257724
target ~ I(weatherVar144^5),-0.0308040021249472
target ~ var16:geodemVar17,-0.0420464390069298
target ~ I(weatherVar50^3),0.0318320873125357
target ~ I(weatherVar211^2) + I(weatherVar65^3) + weatherVar151 + I(weatherVar117^2),0.0271245005329168
target ~ var16:geodemVar11,-0.0428234187537884
target ~ I(weatherVar188^2) + I(weatherVar60^3) + I(weatherVar53^4),0.0475054826784129
target ~ weatherVar138 + I(weatherVar13^3),0.0186501728694369
target ~ I(weatherVar110^2) + I(weatherVar130^5) + I(weatherVar193^5) + I(weatherVar135^5),0.0493638958872961
target ~ I(weatherVar98^2),0.0247966432803947
target ~ I(weatherVar154^4) + weatherVar53 + weatherVar229,0.0268325518220868
target ~ var16:geodemVar26,-0.0409964166195812
target ~ I(weatherVar35^3) + I(weatherVar53^3),0.0281069369775427
target ~ I(weatherVar193^4),0.031332151061498
